Nombre,Cedula,Carnet,Temp,Fecha,HoraIn,HoraOut,Delta,Numingresos,IsIn
cvbnv,3453,*,34,30-03-2021,16:22,*,*,0,False
Sw,111,*,222,30-03-2021,19:00,*,*,0,True
s,7,*,9,30-03-2021,19:03,*,*,0,True
d,6,*,6,30-03-2021,19:06,*,*,0,True
s,5,*,66,30-03-2021,19:16,*,*,0,True
d,99,*,99,30-03-2021,19:20,*,*,0,True
CASA,16,*,36,31-03-2021,00:46,*,*,0,True
PERRO,13,*,25,31-03-2021,00:46,*,*,0,True
www,1222,*,32,31-03-2021,00:53,*,*,0,True
aaaa,222,*,111,31-03-2021,00:53,*,*,0,False
hola,666,*,999,31-03-2021,01:02,*,*,0,True
casa,21,*,36,31-03-2021,01:02,*,*,0,True
sss,669,*,59,31-03-2021,01:07,*,*,0,True
tyy,696,*,99,31-03-2021,01:07,*,*,0,False
hola,699,*,35,31-03-2021,12:54,*,*,0,False
aaa,698,*,63,31-03-2021,12:57,*,*,0,True
JUAN,1929,*,36,31-03-2021,20:31,HO*,D*,0,True
